essay_id,theme,topic_description
failed-exam,challenge,"a student who failed an important school exam and what they learned from it"
family-illness,challenge,"a student balancing schoolwork while a close family member was seriously ill"
financial-constraint,challenge,"a student who could not afford something needed for their studies and found another way"
slow-english-confidence,challenge,"a student who was slow to speak up in class and gradually built confidence"
injury-quit-sport,challenge,"a student who had to stop playing a sport after an injury"
hometown-shaped-me,identity,"how the place a student grew up in shaped what they want to study"
first-in-family-to-apply,identity,"a student who is the first in their family to apply to university"
family-business,identity,"what a student learned from helping with their family's small business"
bilingual-upbringing,identity,"growing up switching between two languages at home and school"
physics-question,curiosity,"a physics question a student could not stop thinking about"
broken-radio-repair,curiosity,"taking apart a broken household device to understand how it worked"
math-olympiad,curiosity,"preparing for a mathematics competition and what it taught them"
astronomy-club,curiosity,"starting or joining an astronomy group at school"
coding-self-taught,curiosity,"teaching themselves to program without formal instruction"
organised-school-fest,leadership,"organising a school event and dealing with what went wrong"
led-robotics-team,leadership,"leading a small robotics or science project team"
started-study-group,leadership,"starting a study group and keeping it going"
captained-team,leadership,"captaining a team through a difficult season"
taught-younger-kids,community,"tutoring younger students and what they learned from teaching"
set-up-reading-corner,community,"setting up a small reading space or book collection for others"
waste-segregation-drive,community,"running a waste segregation or cleanliness effort locally"
flood-relief-volunteer,community,"volunteering during a local flood or natural disaster"
wrong-about-competition,growth,"realising they were wrong about how they viewed competition"
lost-debate,growth,"losing a debate and changing their mind about the topic"
misjudged-classmate,growth,"having misjudged a classmate and what changed their view"
